id,isim,sehir,fiyat_gece,puan,mesafe_merkez_km,konum_aciklama
1,Deniz Manzaralı Otel,Antalya,1200,4.5,1.2,"Denize yakın, sahile yürüme mesafesi"
2,Merkez İş Oteli,İstanbul,1800,4.2,0.5,"Şehir merkezinde, iş seyahati için uygun"
3,Aile Tatil Köyü,Muğla,900,4.0,3.5,"Çocuklu aileler için ideal, her şey dahil"
4,Bütçe Dostu Pansiyon,İzmir,600,3.8,2.0,"Temel ihtiyaçlar için yeterli, ekonomik"
5,Lüks Spa Otel,Antalya,2500,4.8,4.0,"Spa ve wellness odaklı lüks otel"
6,Boğaz Manzaralı Butik Otel,İstanbul,2900,4.7,1.8,"Boğaz hattına yakın, manzaralı odalar"
7,Tarihi Yarımada Konaklama,İstanbul,2100,4.3,0.9,"Sultanahmet bölgesine yürüme mesafesi"
8,Kadıköy Şehir Oteli,İstanbul,1700,4.1,2.5,"Metro ve vapura yakın, merkezi konum"
9,Şişli Business Hotel,İstanbul,2400,4.4,0.7,"İş merkezlerine yakın, toplantı alanları"
10,Bütçe Dostu Şehir Pansiyonu,İstanbul,1200,3.7,3.1,"Ekonomik, temel konfor, kolay ulaşım"
11,Galata Tasarım Oteli,İstanbul,2600,4.6,1.2,"Modern tasarım, Galata çevresinde konum"
12,Beşiktaş Spor&Konfor Oteli,İstanbul,2000,4.0,1.0,"Sahile yakın, canlı bölge"
13,Üsküdar Sessiz Konak,İstanbul,1600,4.2,2.9,"Sakin sokaklar, aileler için uygun"
14,Levent Premium Stay,İstanbul,3000,4.5,0.6,"Plazalara yakın, premium hizmet"
15,Avrupa Yakası Aile Oteli,İstanbul,1900,4.1,4.0,"Aile odaları, çocuk dostu imkanlar"
16,Alsancak Butik Otel,İzmir,1800,4.4,0.8,"Alsancak merkez, restoranlara yakın"
17,Konak Tarihi Otel,İzmir,1500,4.0,1.1,"Tarihi dokuda konforlu konaklama"
18,Çeşme Deniz Esintisi Otel,İzmir,3200,4.6,6.5,"Plaja yakın, yaz tatili konsepti"
19,Kordon Manzaralı Otel,İzmir,2300,4.3,1.9,"Kordon’a yakın, manzaralı teras"
20,Bornova Ekonomi Pansiyon,İzmir,900,3.6,5.2,"Uygun fiyat, basit ve temiz"
21,Konyaaltı Sahil Oteli,Antalya,2200,4.4,3.2,"Sahile yakın, yürüyüş yolu erişimi"
22,Kaleiçi Taş Konak,Antalya,2000,4.5,1.0,"Tarihi Kaleiçi, otantik atmosfer"
23,Lara Resort & Spa,Antalya,3400,4.7,8.0,"Resort konsepti, spa ve havuz"
24,Bodrum Marina Oteli,Muğla,2800,4.5,1.6,"Marinaya yakın, akşam eğlencesi erişimi"
25,Fethiye Doğa Tatil Evi,Muğla,1400,4.1,6.8,"Doğa içinde, sakin konum"
