id,isim,sehir,mutfak_turu,fiyat_seviye,puan,otellere_yakin_ids,konum_aciklama
1,Sahil Balıkçısı,Antalya,Deniz Ürünleri,3,4.6,"1,5","Sahilde, taze balık ve meze"
2,Anadolu Sofrası,Antalya,Türk Mutfağı,2,4.4,"1,3","Ev yemekleri, aile ortamı"
3,Merkez Steakhouse,İstanbul,Steakhouse,4,4.7,"2","İş yemekleri için uygun, kaliteli etler"
4,Veggie Green,İzmir,Vegan,3,4.3,"4","Vejetaryen ve vegan ağırlıklı menü"
5,Hızlı Lokanta,Muğla,Fast Food,1,3.9,"3","Hızlı servis, ekonomik menü"
6,Boğaz Mezeleri,İstanbul,Türk Mutfağı,4,4.6,"2,6,11","Boğaz hattında meze ve deniz ürünleri"
7,Galata Kahvaltı Evi,İstanbul,Kahvaltı,3,4.5,"7,11,12","Serpme kahvaltı, tarihi sokaklarda"
8,Kadıköy Noodle Bar,İstanbul,Asya,3,4.4,"8,13,15","Hızlı servis, noodle ve ramen"
9,Şişli Ev Yemekleri,İstanbul,Türk Mutfağı,2,4.2,"9,10,14","Günlük çıkan sulu yemekler, uygun fiyat"
10,Levent Sushi House,İstanbul,Japon,5,4.7,"9,14,6","Premium sushi, iş yemeklerine uygun"
11,Beşiktaş Burger Lab,İstanbul,Burger,3,4.3,"12,11,8","Gurme burger, hızlı servis"
12,Üsküdar Vegan Kitchen,İstanbul,Vegan,3,4.4,"13,8,15","Bitkisel ağırlıklı menü, hafif seçenekler"
13,Tarihi Yarımada Kebapçısı,İstanbul,Kebap,4,4.5,"7,11,2","Klasik kebap ve ızgara çeşitleri"
14,Galata İtalyan Trattoria,İstanbul,İtalyan,4,4.6,"11,7,12","Pizza & makarna, romantik ortam"
15,Şehir Balıkçısı,İstanbul,Deniz Ürünleri,4,4.5,"6,2,12","Taze balık, mevsim mezeleri"
16,Levent Tatlı&Dessert,İstanbul,Tatlı,3,4.3,"14,9,6","Cheesecake ve sütlü tatlılar"
17,Kadıköy Esnaf Lokantası,İstanbul,Türk Mutfağı,2,4.1,"8,13,10","Ev yemekleri, pratik öğle menüsü"
18,Beşiktaş Coffee Roasters,İstanbul,Kafe,3,4.4,"12,11,6","Nitelikli kahve, çalışma için uygun"
19,Şişli Pizza Corner,İstanbul,İtalyan,3,4.0,"9,10,14","Hızlı pizza, paket servis güçlü"
20,Üsküdar Çorbacı,İstanbul,Çorba,2,4.2,"13,15,8","Gece geç saatlere kadar açık"
21,Alsancak Midye&Meze,İzmir,Deniz Ürünleri,3,4.4,"16,19,17","Midye ve meze ağırlıklı menü"
22,Kordon Balık Evi,İzmir,Deniz Ürünleri,4,4.6,"19,16,18","Kordon’da manzaralı balık restoranı"
23,Konak Dönercisi,İzmir,Döner,2,4.1,"17,16,20","Hızlı servis, uygun fiyat"
24,Çeşme Sakızlı Tatlıcı,İzmir,Tatlı,3,4.5,"18,19,16","Sakızlı dondurma ve tatlılar"
25,Bornova Kebap Ustası,İzmir,Kebap,3,4.2,"20,17,16","Izgara ve kebap çeşitleri"
